epoch,train_loss,val_loss,lr
1,0.6274869852168585,0.4207369911642897,0.001
2,0.26283066706418134,0.28207820709490833,0.001
3,0.19575760956306185,0.17571550836929908,0.001
4,0.17038795734391846,0.2183312773009836,0.001
5,0.16794962002812322,0.1881708340906041,0.001
6,0.15877996218460863,0.1889254503942036,0.001
7,0.15615237134118234,0.20969265616023458,0.001
8,0.15948189921596997,0.1908806614178322,0.001
9,0.15066026999318044,0.18009703760936266,0.001
10,0.14712865200948544,0.1810090640138635,0.001
11,0.1440046499279665,0.19022071611631167,0.001
12,0.14385591557376273,0.19551888306240936,0.0005
13,0.13854709078547775,0.19048551648924678,0.0005
14,0.13444990677004648,0.18792583739563024,0.0005
15,0.13886808356717495,0.1811703360858775,0.0005
16,0.13523611598331015,0.19897614252734017,0.0005
17,0.12928289222033648,0.19132725620047475,0.0005
18,0.13268737309615672,0.18446040563372187,0.0005
19,0.12660074989214593,0.18078408659477055,0.0005
20,0.1311471190931122,0.1795548335725055,0.0005
21,0.1297027312406075,0.20137436128718592,0.00025
22,0.1280088869046994,0.18338945765039583,0.00025
23,0.12897573644328716,0.1853366137454004,0.00025
