Year,Open,High,Low,Close,Volume,Avg_Close,Yearly_Return
2003,423.33,700.93,377.39,691.87,1922632100,508.13,
2004,691.35,1007.46,665.93,1000.19,3686211100,794.9,44.56
2005,1000.52,1195.5,951.17,1162.59,3125399800,1089.56,16.24
2006,1161.93,1814.19,1161.26,1805.45,3490940300,1421.12,55.3
2007,1813.38,2818.43,1627.7,2745.72,6959945000,2167.18,52.08
2008,2739.48,2838.37,1089.3,1355.36,5546896500,2104.01,-50.64
2009,1377.4,2559.57,1244.82,2534.26,12869673700,1982.04,86.98
2010,2533.85,3788.42,2431.74,3703.37,11181702200,3056.93,46.13
2011,3704.3,4195.56,3217.83,3821.84,9274010000,3727.1,3.2
2012,3821.48,4381.58,3635.14,4316.52,7907471700,4101.24,12.94
2013,4322.41,5251.09,3837.59,4274.01,10203161400,4592.96,-0.98
2014,4294.33,5262.36,4161.03,5226.74,8980704600,4908.54,22.29
2015,5233.59,5523.82,4033.43,4592.83,31913944600,4907.99,-12.13
2016,4579.99,5491.7,4408.63,5296.71,46593226900,5030.12,15.33
2017,5290.39,6368.32,5228.29,6355.65,17590282700,5739.62,19.99
2018,6366.08,6693.47,5557.56,6194.5,16995338800,6086.74,-2.54
2019,6197.87,6636.33,5767.4,6299.54,24078816500,6296.09,1.7
2020,6313.13,6348.53,3911.72,5979.07,21188364600,5248.97,-5.09
2021,5997.83,6754.46,5735.47,6581.48,44511158400,6228.85,10.08
2022,6586.26,7377.5,6509.88,6850.62,50992434700,6959.45,4.09
2023,6850.74,7309.78,6542.79,7272.8,40495521000,6856.96,6.16
2024,7268.4,7910.56,6698.85,7079.9,39194319400,7311.51,-2.65
