feature,importance
Price Change 1 Day Percent,0.016564034230153405
ihsg_close,0.010778247208024068
Price Earnings Ratio,0.007681079109897824
Moving Average 20 Day,0.0076714471157174596
Dividend Indicated Yld - Gross,0.0072772212326526675
ihsg_return_1d,0.0071887369073616965
High Price,0.005967044904051964
bi_rate,0.005499517063920698
Ask Price,0.005227162397932264
Low Price,0.0041306801547762026
Bid Price,0.003971228197527423
cpi_index,0.003760597740377606
exchange_rate_usd_idr,0.0035121245348515647
Price to Sales Ratio,3.691242891363795e-05
Price to Book Ratio,0.0
inflation_rate,0.0
