epoch,train_loss,val_loss,lr
1,0.4404713678530895,0.1423512991248589,0.001
2,0.26780260512905735,0.29785615118928166,0.001
3,0.2202797739309222,0.1582131903696727,0.001
4,0.19440555034679324,0.15479196328452696,0.001
5,0.18617347849526286,0.2246411612261703,0.001
6,0.17509443148917195,0.2202914979630139,0.001
7,0.1664412952345332,0.19506235184508325,0.001
8,0.16221351777353593,0.12919460367281121,0.001
9,0.15672538791078822,0.15733696298026817,0.001
10,0.15178018953637837,0.1756335919275706,0.001
11,0.14959031512233092,0.16806554655372957,0.001
12,0.1504167666785606,0.12484583239524792,0.001
13,0.14896522935573345,0.1208357434103261,0.001
14,0.14348582196513385,0.10973709681025752,0.001
15,0.13439457820307824,0.08030855133782178,0.001
16,0.13762084793125856,0.12243666055249723,0.001
17,0.137857168234591,0.11562678393297818,0.001
18,0.13189591825489075,0.12602089800478972,0.001
19,0.1320607078331773,0.07268323578235708,0.001
20,0.12903814683785148,0.06891754435457828,0.001
21,0.13163846854561118,0.12159439910958697,0.001
22,0.1293041233413963,0.12710268837171834,0.001
23,0.12823309626523738,0.14500861519422287,0.001
24,0.12820561222705362,0.1780373385319343,0.001
25,0.12379071975267061,0.1533317155875526,0.001
26,0.1274249083466,0.07454238025284869,0.001
27,0.12556042701112755,0.1600883353180263,0.001
28,0.12264166179523674,0.11600140268569226,0.001
29,0.12242217876791527,0.17051492846790173,0.0005
30,0.12031743444876218,0.10164007777239616,0.0005
31,0.1235478912950844,0.10493075420389643,0.0005
32,0.1187119117347143,0.10710736516958629,0.0005
33,0.12267523506208987,0.0985513576990241,0.0005
34,0.11808458118028538,0.09362432549952905,0.0005
35,0.11516679670648336,0.08930365303596416,0.0005
36,0.12066012612380435,0.10452103844055763,0.0005
37,0.11729769250077586,0.13136952054319959,0.0005
38,0.12076030395471067,0.09499984757327812,0.00025
39,0.11429016321470234,0.11186902016609698,0.00025
40,0.11250409736000937,0.11864457819567416,0.00025
