epoch,train_loss,val_loss,lr
1,0.30877454882240635,0.16900647711225877,0.001
2,0.13115121211629616,0.1439034145125698,0.001
3,0.11425565054446565,0.12047228651307958,0.001
4,0.10785451245137014,0.10931828284597063,0.001
5,0.10283320524786535,0.11810322248296581,0.001
6,0.10215521430242873,0.09643608369888404,0.001
7,0.09775640605064276,0.09184846679716956,0.001
8,0.09250326091991103,0.09540278379455869,0.001
9,0.09745697354009929,0.09739000457914282,0.001
10,0.08958963633224529,0.11051141877066005,0.001
11,0.0929686438118685,0.10517927234892523,0.001
12,0.09431766386420923,0.11226667776391223,0.001
13,0.09097396210103052,0.09366419676925752,0.001
14,0.08767966976836591,0.1165769259273867,0.001
15,0.0896368133498349,0.13700442860176512,0.001
16,0.08346573150179293,0.12258916268329242,0.0005
17,0.08352893475029204,0.11543103552364803,0.0005
18,0.08305353900971806,0.12871935779537078,0.0005
19,0.08132262391749248,0.13012261249316046,0.0005
20,0.08084292603009063,0.1282976531794855,0.0005
21,0.08190580434483012,0.13453216301950263,0.0005
22,0.08373643792765115,0.12274603497037243,0.0005
23,0.08123926119778746,0.12590977200469772,0.0005
24,0.07804992033909726,0.1405508017345464,0.0005
25,0.08037656941935153,0.1260641090450309,0.00025
26,0.07817043967037646,0.13570325771272876,0.00025
27,0.08128013791362872,0.1386362078723374,0.00025
