feature,importance,model
t59_Bid Price,0.2802544945867344,lgbm
t59_Ask Price,0.13150299296248208,lgbm
t59_High Price,0.05629290332738681,lgbm
t59_Low Price,0.031184490538024794,lgbm
t58_Ask Price,0.0077057969150759005,lgbm
t58_Bid Price,0.007005238001043996,lgbm
t59_Price to Sales Ratio,0.006132850336964617,lgbm
t57_Price to Sales Ratio,0.003789054159404498,lgbm
t57_High Price,0.003279517822642247,lgbm
t59_Price to Book Ratio,0.0031147021154170986,lgbm
t53_Price Earnings Ratio,0.002924570050792926,lgbm
t58_Price to Sales Ratio,0.002826389679662293,lgbm
t55_Ask Price,0.0019445122359811385,lgbm
t58_High Price,0.0019408764041198214,lgbm
t58_Low Price,0.0018255485613177368,lgbm
t54_Low Price,0.0016968423631466545,lgbm
t46_Moving Average 20 Day,0.0016085018983258545,lgbm
t59_Price Change 1 Day Percent,0.0015787841089499087,lgbm
t56_Bid Price,0.0013094656182477112,lgbm
t52_Price Earnings Ratio,0.0012540371433597149,lgbm
t17_Price Earnings Ratio,0.0011938437101495472,lgbm
t44_Price to Sales Ratio,0.001058937647676213,lgbm
t54_Ask Price,0.0010187441794482618,lgbm
t08_Price Change 1 Day Percent,0.0008715189060694234,lgbm
t43_Ask Price,0.0008374006018215416,lgbm
t14_Price Change 1 Day Percent,0.000781598313052432,lgbm
t25_Dividend Indicated Yld - Gross,0.0007678933215080065,lgbm
t29_Dividend Indicated Yld - Gross,0.0007380677254738509,lgbm
t20_Price Change 1 Day Percent,0.0007290826281344935,lgbm
t33_Price Earnings Ratio,0.000655310944061628,lgbm
t58_Price to Book Ratio,0.0006456339269749579,lgbm
t56_High Price,0.0006446242721531915,lgbm
t15_Price Earnings Ratio,0.0006109804985672965,lgbm
t32_Dividend Indicated Yld - Gross,0.0006008206802617229,lgbm
t39_Price Earnings Ratio,0.0005807989160644852,lgbm
t17_Dividend Indicated Yld - Gross,0.0005324477562650125,lgbm
t10_Price Change 1 Day Percent,0.0005101975853492676,lgbm
t16_Dividend Indicated Yld - Gross,0.0004933110431431942,lgbm
t17_Low Price,0.0004905424779007957,lgbm
t44_Moving Average 20 Day,0.00047595444441010735,lgbm
t30_Price to Book Ratio,0.00046352734093836736,lgbm
t44_Price Change 1 Day Percent,0.00043143384909827027,lgbm
t53_Price to Sales Ratio,0.000428528207164813,lgbm
t37_Price Earnings Ratio,0.00042161260814373446,lgbm
t49_Moving Average 20 Day,0.00041660825301876117,lgbm
t54_Price to Book Ratio,0.000403639859511065,lgbm
t59_Price Earnings Ratio,0.00040329372444349943,lgbm
t13_Price Earnings Ratio,0.0003913217907761499,lgbm
t33_Price to Book Ratio,0.00038010812221821356,lgbm
t45_Moving Average 20 Day,0.00037897591336390494,lgbm
t33_Moving Average 20 Day,0.00035562506280926076,lgbm
t18_Price Change 1 Day Percent,0.00035443534323857163,lgbm
t41_Price Change 1 Day Percent,0.00033785127731118065,lgbm
t39_Price Change 1 Day Percent,0.00032900809325302996,lgbm
t53_Price Change 1 Day Percent,0.0003265278809929246,lgbm
t00_Price to Book Ratio,0.0003239942139498498,lgbm
t10_Ask Price,0.00032280608382445565,lgbm
t15_Low Price,0.0003194915831477109,lgbm
t57_Bid Price,0.00031721833907350904,lgbm
t42_Price Change 1 Day Percent,0.000305073206702931,lgbm
t00_Moving Average 20 Day,0.0002977640110064732,lgbm
t51_Moving Average 20 Day,0.0002811111302909929,lgbm
t10_Price Earnings Ratio,0.0002721358104532333,lgbm
t34_Price Earnings Ratio,0.0002661828933913475,lgbm
t39_Price to Book Ratio,0.00026017279811628853,lgbm
t05_Price Change 1 Day Percent,0.0002546457234155713,lgbm
t21_Price Change 1 Day Percent,0.000254144923734717,lgbm
t08_Moving Average 20 Day,0.0002452334852513893,lgbm
t51_Price Change 1 Day Percent,0.00024315461439084325,lgbm
t04_Price to Book Ratio,0.00022702065899141155,lgbm
t28_Ask Price,0.0002164575916149216,lgbm
t14_Bid Price,0.00021523297297326951,lgbm
t15_Price to Sales Ratio,0.00021522648272009046,lgbm
t51_Price Earnings Ratio,0.0002126158824435045,lgbm
t15_High Price,0.00021133004396618244,lgbm
t37_Price to Sales Ratio,0.00020307214471391806,lgbm
t40_High Price,0.000198386433423643,lgbm
t08_Price to Book Ratio,0.00019113073302415168,lgbm
t11_Price Earnings Ratio,0.00018591881271492284,lgbm
t34_Price to Sales Ratio,0.00018399587709718303,lgbm
t20_Price to Sales Ratio,0.00018154731657150287,lgbm
t32_Price Change 1 Day Percent,0.00017372512640815197,lgbm
t30_Price to Sales Ratio,0.00017312994580324811,lgbm
t09_Price to Book Ratio,0.00017212919338815941,lgbm
t18_Low Price,0.00016877809150809306,lgbm
t19_Price Change 1 Day Percent,0.0001651555795356901,lgbm
t50_Bid Price,0.00016392616415204762,lgbm
t33_Price Change 1 Day Percent,0.00015968322223424843,lgbm
t03_Price Change 1 Day Percent,0.00015807757359174,lgbm
t07_Moving Average 20 Day,0.00015683410699334196,lgbm
t41_Price to Book Ratio,0.0001557208879367713,lgbm
t43_Price to Book Ratio,0.0001522743005265275,lgbm
t09_Low Price,0.00014562598361265658,lgbm
t43_Moving Average 20 Day,0.00014437010517993825,lgbm
t45_Price Change 1 Day Percent,0.00014230513856776462,lgbm
t20_Bid Price,0.0001419309743131148,lgbm
t33_Price to Sales Ratio,0.00014126889501711655,lgbm
t32_Moving Average 20 Day,0.00013986575448872213,lgbm
t06_Price Change 1 Day Percent,0.00013613666465346532,lgbm
t14_Ask Price,0.00013016669848243338,lgbm
t41_Price Earnings Ratio,0.0001233165298165999,lgbm
t35_Price to Book Ratio,0.00012030185928072395,lgbm
t36_Price Earnings Ratio,0.00011854961103143546,lgbm
t43_Bid Price,0.00011444880759598588,lgbm
t28_Price Earnings Ratio,0.00011264183419287304,lgbm
t12_High Price,0.0001058869754510627,lgbm
t54_Price Earnings Ratio,0.00010333606783306825,lgbm
t32_Low Price,0.00010311775760911674,lgbm
t20_Ask Price,0.00010257064356372904,lgbm
t23_Moving Average 20 Day,9.771538646064592e-05,lgbm
t01_High Price,9.314548208065681e-05,lgbm
t55_High Price,8.926951545724383e-05,lgbm
t37_High Price,8.786230458145827e-05,lgbm
t34_Low Price,8.707881336712911e-05,lgbm
t52_Price to Book Ratio,8.613321735381918e-05,lgbm
t23_Price to Book Ratio,8.365213580954882e-05,lgbm
t50_Low Price,8.332195295940427e-05,lgbm
t11_Ask Price,8.181510652537456e-05,lgbm
t31_Price Change 1 Day Percent,8.151493460829259e-05,lgbm
t32_Price to Book Ratio,7.965874156227567e-05,lgbm
t37_Price to Book Ratio,7.853560531393975e-05,lgbm
t20_High Price,7.778726122559009e-05,lgbm
t43_Low Price,7.444769816088863e-05,lgbm
t47_Moving Average 20 Day,6.920825133609054e-05,lgbm
t44_Ask Price,6.762911744157234e-05,lgbm
t40_Price Change 1 Day Percent,6.433002492206798e-05,lgbm
t01_Moving Average 20 Day,6.320353889881351e-05,lgbm
t35_High Price,6.27304828629945e-05,lgbm
t06_High Price,6.193726074620914e-05,lgbm
t38_Price to Sales Ratio,5.894394176782882e-05,lgbm
t19_Ask Price,5.617043476018564e-05,lgbm
t33_Ask Price,5.340374477080189e-05,lgbm
t20_Price Earnings Ratio,5.3262510364639445e-05,lgbm
