epoch,train_loss,val_loss,lr
1,0.49739083647727966,0.31431094906130036,0.0005
2,0.2158184107700129,0.20855291858141795,0.0005
3,0.13793975200277075,0.17697370250325103,0.0005
4,0.12889743834520326,0.16263589983706153,0.0005
5,0.12279578947251843,0.15248454721657545,0.0005
6,0.11565010005000671,0.14194511997324605,0.0005
7,0.11729510400884895,0.14457741466574459,0.0005
8,0.11256570076856989,0.13357184144792023,0.0005
9,0.11551230250186817,0.14019683932577257,0.0005
10,0.11057571519873903,0.12311982002222177,0.0005
11,0.10881255538232865,0.11954404820095409,0.0005
12,0.11102475917040233,0.12339664182879707,0.0005
13,0.10865931170708817,0.11444356872554703,0.0005
14,0.10754038249826774,0.11563152635778302,0.0005
15,0.10741050961197063,0.12485265983637674,0.0005
16,0.1105802472453818,0.11285697060934591,0.0005
17,0.10421804730182907,0.10261320798616587,0.0005
18,0.1050219860982724,0.10265014775635757,0.0005
19,0.10222923849645908,0.11099980451982894,0.0005
20,0.10887854783979369,0.1231117419950612,0.0005
21,0.1042952318719211,0.1093821903660303,0.0005
22,0.10260076709759278,0.10951461938225028,0.0005
23,0.10534619824112958,0.09466306757537912,0.0005
24,0.10174670483796827,0.1026952527723946,0.0005
25,0.10242343157743468,0.09822592154874668,0.0005
26,0.10040630662953982,0.09115215271086126,0.0005
27,0.10873495619143209,0.10431194562456268,0.0005
28,0.10526681497532835,0.08905546981971581,0.0005
29,0.1065437463769776,0.08181868976368493,0.0005
30,0.10151324087894091,0.08356614330987552,0.0005
31,0.10551172077228518,0.1005950532072074,0.0005
32,0.1031621813507063,0.07698522749550137,0.0005
33,0.10353807037342407,0.08508565516530217,0.0005
34,0.10202710891282686,0.09706895360788265,0.0005
35,0.09810002868641235,0.0826311820557901,0.0005
36,0.10219417572769213,0.0772019623841717,0.0005
37,0.10294524151364536,0.07778575766336668,0.0005
38,0.1045375457801272,0.0909334926199524,0.0005
39,0.09873782295373178,0.09260605715024166,0.0005
40,0.10013200668451179,0.08014015683205256,0.0005
41,0.10009029454227844,0.08546252121458521,0.00025
42,0.10053289335047472,0.09811345524304396,0.00025
43,0.09802533490149351,0.09062173590932415,0.00025
44,0.10242650556414785,0.08361582065517809,0.00025
45,0.10049816639192642,0.08016804086439537,0.00025
46,0.10062812801223502,0.08944061122365765,0.00025
47,0.09657777060744582,0.0814953461671487,0.00025
48,0.10113434539473612,0.07354001810292264,0.00025
49,0.10027237436784212,0.07836543183365624,0.00025
50,0.10002614574299919,0.06469793027236467,0.00025
