feature,importance
Ask Price,0.0024265957688517923
Low Price,0.001991675244222608
Bid Price,0.0019062480283920714
inflation_rate,0.001875899002349766
Price Earnings Ratio,0.0017479436006353868
High Price,0.0016579724587283073
bi_rate,0.001628830537284816
Price Change 1 Day Percent,0.0014751198505697752
Dividend Indicated Yld - Gross,0.0012341086276359517
ihsg_return_1d,0.0011912723546424538
Price to Book Ratio,0.0010568404083259482
Price to Sales Ratio,0.0010555554991613844
cpi_index,0.0010488457851191158
Moving Average 20 Day,0.0009459516983363254
exchange_rate_usd_idr,0.0007791116288721735
ihsg_close,0.0007168832178252834
