feature,importance
Bid Price,56971276897.535355
Moving Average 20 Day,56971276897.535
Low Price,0.004204596352492511
Price to Sales Ratio,0.0035661786454612376
Price Change 1 Day Percent,0.002836864848449794
cpi_index,0.002663660788982741
ihsg_close,0.002604020257339856
ihsg_return_1d,0.002503082170015674
Ask Price,0.002388298378714775
High Price,0.0023584440577730137
Dividend Indicated Yld - Gross,0.002206384790579335
Price Earnings Ratio,0.002196695162231831
Price to Book Ratio,0.0015703339036289765
bi_rate,0.001531903279147352
exchange_rate_usd_idr,0.0013781834659768418
inflation_rate,0.001163487855119462
