feature,importance
Price to Sales Ratio,0.007126609183615073
Price Change 1 Day Percent,0.005421936235701047
Bid Price,0.005147180120693521
exchange_rate_usd_idr,0.004491800628602507
bi_rate,0.004110168626842397
ihsg_close,0.002609913105455536
Dividend Indicated Yld - Gross,0.0023285722592845544
inflation_rate,0.002004642732208593
High Price,0.001577399547677486
ihsg_return_1d,0.0011420147128713637
Ask Price,0.0010776365272855994
Price Earnings Ratio,0.00038061109177457887
cpi_index,0.00022992923040874303
Price to Book Ratio,0.0
Low Price,0.0
Moving Average 20 Day,0.0
