feature,importance
Moving Average 20 Day,0.00011942100647415613
Bid Price,7.847993004520158e-05
Price to Sales Ratio,7.235201940472635e-05
exchange_rate_usd_idr,6.437415251552708e-05
Low Price,5.224622824850177e-05
Price to Book Ratio,4.2157468851655663e-05
Price Earnings Ratio,3.6359956998023296e-05
bi_rate,3.213062984055825e-05
Price Change 1 Day Percent,2.4815792095891873e-05
cpi_index,2.056455964015598e-05
Dividend Indicated Yld - Gross,1.9525935307943593e-05
High Price,1.3713234026605893e-05
Ask Price,1.0000548597114785e-05
inflation_rate,0.0
ihsg_close,0.0
ihsg_return_1d,0.0
