epoch,train_loss,val_loss,lr
1,0.3697463938946365,0.27426434226664076,0.0005
2,0.17413686482923432,0.3274335129347159,0.0005
3,0.13565629128914153,0.2929842322022765,0.0005
4,0.12451422812690871,0.22443488424335603,0.0005
5,0.11730201232604229,0.2607432457603219,0.0005
6,0.10573548317810114,0.2095308060169498,0.0005
7,0.10740847401187412,0.18258755053187306,0.0005
8,0.1046553174441006,0.20624143913353518,0.0005
9,0.09717323744809755,0.22072757167485488,0.0005
10,0.09264322723859528,0.235821709141031,0.0005
11,0.09712223599674881,0.2270744430956307,0.0005
12,0.09129564188500887,0.18336797625451653,0.0005
13,0.09368843469888934,0.20326951361480572,0.0005
14,0.08942948723992994,0.22059452743866506,0.0005
15,0.08708638076713862,0.21437184741863838,0.0005
16,0.09118079297965573,0.16006276814705564,0.0005
17,0.088780942249469,0.20803490510353675,0.0005
18,0.08651649942321162,0.2175668040008256,0.0005
19,0.08636456940016012,0.1682325012130893,0.0005
20,0.09138543926793614,0.16653441130628674,0.0005
21,0.08552434914428274,0.164202655728533,0.0005
22,0.08196388782672985,0.18406315286815306,0.0005
23,0.08371111933796209,0.21318681958394173,0.0005
24,0.08241280744579958,0.19443754424581994,0.0005
25,0.08137461357219244,0.1783797719748148,0.00025
26,0.08476183073174569,0.15523134787634257,0.00025
27,0.08335534882160925,0.20248727061045477,0.00025
28,0.07978603454527035,0.17827883921997809,0.00025
29,0.07948729852514883,0.17142955954501402,0.00025
30,0.08074671433817955,0.18513807159412157,0.00025
31,0.08058282716940808,0.1551270068716475,0.00025
32,0.0768011347420754,0.19383811052793112,0.00025
33,0.07895574551008935,0.17310879082529695,0.00025
34,0.08087626884701432,0.184177255670438,0.00025
35,0.07732000947532688,0.18281055893097725,0.00025
36,0.07961966417809968,0.16763432815427826,0.00025
37,0.07638407388041096,0.19403606387493494,0.00025
38,0.07633064100819249,0.1607327664787675,0.00025
39,0.0815347915802378,0.16321198489421454,0.00025
40,0.0775027765168084,0.16382713811276675,0.000125
41,0.07383077795680706,0.180884140893157,0.000125
42,0.07914141879607273,0.1469097838135727,0.000125
43,0.07543697143541014,0.1753304873382573,0.000125
44,0.07475664304789677,0.15341116396801455,0.000125
45,0.07758560299766534,0.14302466678626333,0.000125
46,0.07471865638823492,0.15269480891404175,0.000125
47,0.07734176692783191,0.15863521075818365,0.000125
48,0.07970945788647539,0.15249813451390445,0.000125
49,0.07534686954004363,0.1684035347006121,0.000125
50,0.07686677798895852,0.14232464271026612,0.000125
